geoid,county,county_number,grand_division,tdot_region
47001,Anderson,1,East,Region 1
47003,Bedford,2,Middle,Region 3
47005,Benton,3,West,Region 4
47007,Bledsoe,4,East,Region 2
47009,Blount,5,East,Region 1
47011,Bradley,6,East,Region 2
47013,Campbell,7,East,Region 1
47015,Cannon,8,Middle,Region 2
47017,Carroll,9,West,Region 4
47019,Carter,10,East,Region 1
47021,Cheatham,11,Middle,Region 3
47023,Chester,12,West,Region 4
47025,Claiborne,13,East,Region 1
47027,Clay,14,Middle,Region 2
47029,Cocke,15,East,Region 1
47031,Coffee,16,Middle,Region 2
47033,Crockett,17,West,Region 4
47035,Cumberland,18,East,Region 2
47037,Davidson,19,Middle,Region 3
47039,Decatur,20,West,Region 4
47041,DeKalb,21,Middle,Region 2
47043,Dickson,22,Middle,Region 3
47045,Dyer,23,West,Region 4
47047,Fayette,24,West,Region 4
47049,Fentress,25,Middle,Region 2
47051,Franklin,26,Middle,Region 2
47053,Gibson,27,West,Region 4
47055,Giles,28,Middle,Region 3
47057,Grainger,29,East,Region 1
47059,Greene,30,East,Region 1
47061,Grundy,31,Middle,Region 2
47063,Hamblen,32,East,Region 1
47065,Hamilton,33,East,Region 2
47067,Hancock,34,East,Region 1
47069,Hardeman,35,West,Region 4
47071,Hardin,36,West,Region 4
47073,Hawkins,37,East,Region 1
47075,Haywood,38,West,Region 4
47077,Henderson,39,West,Region 4
47079,Henry,40,West,Region 4
47081,Hickman,41,Middle,Region 3
47083,Houston,42,Middle,Region 3
47085,Humphreys,43,Middle,Region 3
47087,Jackson,44,Middle,Region 2
47089,Jefferson,45,East,Region 1
47091,Johnson,46,East,Region 1
47093,Knox,47,East,Region 1
47095,Lake,48,West,Region 4
47097,Lauderdale,49,West,Region 4
47099,Lawrence,50,Middle,Region 3
47101,Lewis,51,Middle,Region 3
47103,Lincoln,52,Middle,Region 3
47105,Loudon,53,East,Region 1
47107,McMinn,54,East,Region 2
47109,McNairy,55,West,Region 4
47111,Macon,56,Middle,Region 3
47113,Madison,57,West,Region 4
47115,Marion,58,East,Region 2
47117,Marshall,59,Middle,Region 3
47119,Maury,60,Middle,Region 3
47121,Meigs,61,East,Region 2
47123,Monroe,62,East,Region 1
47125,Montgomery,63,Middle,Region 3
47127,Moore,64,Middle,Region 3
47129,Morgan,65,East,Region 1
47131,Obion,66,West,Region 4
47133,Overton,67,Middle,Region 2
47135,Perry,68,Middle,Region 3
47137,Pickett,69,Middle,Region 2
47139,Polk,70,East,Region 2
47141,Putnam,71,Middle,Region 2
47143,Rhea,72,East,Region 2
47145,Roane,73,East,Region 1
47147,Robertson,74,Middle,Region 3
47149,Rutherford,75,Middle,Region 3
47151,Scott,76,East,Region 1
47153,Sequatchie,77,Middle,Region 2
47155,Sevier,78,East,Region 1
47157,Shelby,79,West,Region 4
47159,Smith,80,Middle,Region 3
47161,Stewart,81,Middle,Region 3
47163,Sullivan,82,East,Region 1
47165,Sumner,83,Middle,Region 3
47167,Tipton,84,West,Region 4
47169,Trousdale,85,Middle,Region 3
47171,Unicoi,86,East,Region 1
47173,Union,87,East,Region 1
47175,Van Buren,88,Middle,Region 2
47177,Warren,89,Middle,Region 2
47179,Washington,90,East,Region 1
47181,Wayne,91,Middle,Region 3
47183,Weakley,92,West,Region 4
47185,White,93,Middle,Region 2
47187,Williamson,94,Middle,Region 3
47189,Wilson,95,Middle,Region 3